sentence1	sentence2	label	genre
Inquire at the tourism office or check local publications for schedules .	There are local publications of the schedules made online every morning .	neutral	travel
The altars were gone .	The altars had vanished , carried away by dark worshipers in the dead of night .	neutral	fiction
may manage forfeited property and the collection and disposition of the revenue from that property .	The property needs repairs .	neutral	government
Reformers said the ruling showed the court 's openness to an overhaul of campaign-finance laws .	The court was open to changes in the laws .	entailment	slate
yeah because i know you know i i really get pressure from because i have a career also and i get a lot of pressure from people that you know my colleagues that why am i staying home	I 'm never under too much pressure , I 'm always very relaxed .	contradiction	telephone
and by doing so they 're not obligated to anybody	They do not have any obligations to anyone .	entailment	telephone
In the early Middle Ages , Canton had a significant Muslim population as a result of its trade with the Middle East .	Canton exported silk to the Middle East during the Middle Ages .	neutral	travel
And , I submit that the federal privacy law , governs the collection and use of personal data by federal agencies and which provides agencies a modicum of flexibility , is a reasonable point of departure for future discussions of either industry selfregulation or legislation .	The federal privacy law does not regulate how personal data is used by agencies .	contradiction	government
The principal cemetery of Montmartre , where luminaries of the arts such as the composers Berlioz and Offenbach lie buried , may seem a world away , but it 's only a short walk west from the Moulin Rouge to the entrance ( west past the Moulin Rouge , then right at avenue Rachel ) .	When it rains , the walk from the Moulin Rouge and Montmartre is slippery and dangerous .	neutral	travel
Horse races are held every Sunday afternoon at the Hippodrome Ibiza , Sant Rafel .	Horse races take place only on Saturday mornings at Hippodrome Ibiza , Sant Rafel .	contradiction	travel
they have to be short enough that they 'll still fall back down um into the grass	they can not be too tall because they have to be able to fall back onto the grass .	entailment	telephone
i 'm i 'm originally from Lubbock	I have never been to Lubbock .	contradiction	telephone
But I wo n't be killed off quietly like a lamb . '' Mrs. Vandemeyer stamped her foot .	Mrs. Vandemeyer said she would n't be killed off easy .	entailment	fiction
He makes a fatal The initial murders are so horrifying in their plainness that when the movie takes the gentlemanly way out and refuses to provide a cathartic bloodbath , the audience feels burned .	The movie shows the mass murder .	neutral	slate
Maybe it 's true that we 're the only members of the big brain club , but I 'll lay my bets with ET .	They may be the only members of the big brain club because it is a small group .	neutral	slate
yeah oh for heaven 's sake well we only live probably about fifteen twenty miles from Knox	No , that 's great because we live in Knox .	contradiction	telephone
! said he with satisfaction .	He was unsatisfied .	contradiction	slate
yeah i exercise pretty regularly	Yes , I exercise three times a week .	neutral	telephone
Egyptians revered the strong and patient creatures and Kom Ombo is dedicated to Sobek , the crocodile god .	Sobek was considered to be the god of pineapples .	contradiction	travel
According to my sources at the time , Morris was desperately pushing for a budget deal and making the kind of hilariously precise electoral promises for which he was If he compromised with Gingrich , Clinton would win by a 14-point margin , take back Congress , and so forth .	Morris was making hilarious electoral promises as he pushed for a budget deal .	entailment	slate
Fans , dolls , and hand-made stationery are usually reasonably priced but produced with the same meticulous care as are objects made from more precious materials .	All of the products produced are made with great care and concentration .	entailment	travel
A central focal point is essential to spotting trends , identifying problem areas , and seeing that policies and administrative actions are handled in a consistent manner .	There must be a central guiding principle behind implementing procedures that are meant to be carried out in the same way in similar situations , as well as noticing patterns and difficulties .	entailment	government
Her voice was small and high , it was a child 's voice .	The child had a low , husky voice .	contradiction	fiction
Leave it to me . She bent down .	Count on me , she lowered her torso down .	entailment	fiction
Could Kennewick Man have come by a route similar to Ericson 's , say via skin boats or over an ice mass connecting North America , Greenland , and Norway ?	Kennewick Man certainly did not come by a route similiar to Ericson 's .	contradiction	slate
As the discount increases above 6a , it is clear from Figure 4 that the curve will continue to rise .	It 's clear from looking at Figure 4 that the curve will continue to rise as the discount increases above 6a .	entailment	government
and uh uh you know i think that 's good because she 's not afraid of them and it it teaches her to be responsible relative to guns but uh when he 's out on police work you know he leaves her home alone and shows them where they are in case she needs them and i worry about that i would almost worry about that more than if she did n't have one	I hope she knows how to use a gun correctly .	neutral	telephone
Federal mission property , plant , and equipment ( PP and E ) shall be reported as required supplementary stewardship information accompanying the financial statements of the Federal Government and the component units of the Federal Government responsible for such PP and E .	Federal mission PP and E do not have to submit reports .	contradiction	government
uh-huh yeah they do they think it 's a paycheck	For them it 's more than just a paycheck .	contradiction	telephone
Today , the television and the mall do the job that once was the purview of parents .	Parents are doing the job that the malls used to do .	contradiction	slate
Mr. Philips , K .	The woman whose name was Sonya .	contradiction	fiction
Go inland through Vico to join the wild deer for picnics in the Umbra Forest .	The presence of wild deer suggests that there may be predators nearby , so please exercise caution .	neutral	travel
But the anger story has overwhelmed McConnell 's critique .	McConnell 's critique has become overwhelmed by the anger story .	entailment	slate
The elevation of VA to cabinet-level status in 1989 spurred the department to make internal management improvements .	Higher expectations were implemented upon the VA .	neutral	government
The Singapore naval base was left empty .	Everyone left the naval base due to orders from on high .	neutral	travel
During April and May , the orchids will be in bloom .	The orchids will never be in bloom .	contradiction	travel
And there was no one who dared pronounce his true name .	He was an outlaw in those parts , so everyone was afraid to even speak his name .	neutral	fiction
Excuse me , it said .	Do n't move , it said .	contradiction	fiction
Pause for a moment at the palace 's western terrace alongside the Galerie des Glaces for a first view of his harmonious , subtly asymmetrical arrangement of the grounds .	There is a subtle asymmetry to the ground arrangement .	entailment	travel
There has been a Christian place of worship on the site since the 9th century .	No Christian places of worship have been found at the site .	contradiction	travel
If not these tests , which ?	It 's definitely these tests .	contradiction	slate
Where there is money , there is shopping or so it should seem .	If there is money , the people with it do n't want to spend it .	contradiction	travel
Certainly not for our land . ''	Not applicable to our land . ''	entailment	fiction
um so glass has been recycled for a long time uh we have a cycling area set up here at our house the Boy Scouts have and they 've done that for years uh the stores are recycling their plastic bags now you can take them back in and they have bins to collect those uh	The Boy Scouts in our area help with recycling projects .	entailment	telephone
Drew was puzzled .	Drew was perplexed .	entailment	fiction
Begun in 1143 , its arcaded facade varies the patterns of its four tiers of columns sculpted , striped , scrolled , chevroned in pink , green , black , or white marble .	The marble columns were never meant to be constructed differently .	contradiction	travel
You will find a number of galleries displaying work by local and international artists in the narrow alleyways of the avreika Quarter .	The Avreika Quarter also contains many small cafes and restaurants .	neutral	travel
Designed by Sir Robert Rowand Anderson , the building was constructed in neo-Gothic style , and statues on the outer facade depict Scottish poets , artists , and statesmen .	Sir Robert Rowand Anderson designed the neo-Gothic style building .	entailment	travel
Any omitted paragraphs are indicated in the table of contents .	Any paragraphs that were taken out are still shown in the table of contents .	entailment	government
An impressive rocky coastline with a backdrop of verdant hills continues southward to Talamanca , a heavily developed beach with a fine view of Ibiza Town .	The verdant hills stop far to the north of Talamanca .	contradiction	travel
We reported that the acquisition strategy was risky and that the program was	We reported that the strategy was overly conservative .	contradiction	government
Tahrir Square ( Liberation Square ) on the east bank is its heart , a mass of streets converging on the biggest bus terminus in the city , which is bounded by government ministries and office blocks housing airline offices and travel agencies .	Liberation Square is at the east of its heart , and is a massive block of streets .	entailment	travel
There is a word for organizations that obey a charismatic leader , uphold fantastic founding myths , and assemble a body of secretive lore , but Szwed ca n't bring himself to call the Arkestra a cult .	Szwed knows in his heart that the Arkestra is a cult , he just loves the organization too much to admit it .	neutral	slate
Oh , thank God .	Thank you God .	entailment	fiction
i play the trumpet	I do not play the trumpet .	contradiction	telephone
On the Spanish mainland , late dining hours perplex visitors .	Many people eat late in Spain .	entailment	travel
The model rules explicitly reject virtually everything Feige said in his Gist piece .	Feige 's Gist piece is outright rejected by the model rules .	entailment	slate
Another bout of progress occurred in 1994 when a peace agreement was signed with Jordan , leading to the opening of the southern Eilat-Aqaba and Arava border routes .	A peace agreement with Jordan was signed in 1994 .	entailment	travel
yeah well gasoline especially in this part of the country we all use it all the time you know it 's that 's not what i would consider a luxury	in this part of the country we never use gasoline we do n't even have any cars	contradiction	telephone
everything 's really nice but then when you look underneath it it 's just got these little wheels and this just this uh little axle it 's like oh my and then a big windstorm it would pick you up	it 's not nice at all , but it has big wheels and feels very secure in a windstorm	contradiction	telephone
yeah restructuring	One of the things being restructured is the database .	neutral	telephone
In the United States , American citizens are increasingly demanding improved government services and better stewardship of public resources .	The Americans are satisfied with the government service .	contradiction	government
did you see that special about uh all these people that work on the road crews they 're putting these bridges up and so many of them had tested positive for drugs and they they have n't been putting these bridges together correctly and like yeah and then uh on the lines for putting your automobiles together same thing they 're under the influence and they 're not doing the job right	The road crew are all addicted to drugs .	neutral	telephone
The digital mouse is cute , but it 's the family cat , voiced by Nathan Lane , whose wisecracking barely keeps this adaptation of the E.B .	The family cat , voiced by Nathan Lane , is the one whose wisecracking barely keeps this adaptation of the E.B , even though the digital mouse is cute .	entailment	slate
This is the second attempt by the Departments to issue such a rule .	The departments have nevertried before to issue a rule like that .	contradiction	government
I love this in part because I am proud that I translated it from the French , which , in turn , was translated from the Czech .	One of the reasons I love this part is because I translated it myself .	entailment	slate
i keep trying uh you know you just ca n't ca n't give up on it uh i uh i bought some uh plants from Michigan Bulb Company they send them to you all ready alive	The Michigan Bulb Company sent me some living roses already .	neutral	telephone
Does an egg know it is going to become a hen -- or maybe a fish ?	Hens and fish are alike in that they both hatch from eggs .	entailment	fiction
Baseball pundits , having hyped Irabu for months , began questioning whether he 's been overhyped .	Baseball pundits did not hype Irabu for some time .	contradiction	slate
Such occasional overreaching aside , Applebome 's is a shrewd , fair , and entertaining guide to the region .	Applebome 's appears to exaggerate and draw sweeping conclusions at points .	entailment	slate
oh for goodness sakes that is that is just really nice we kind of you know i 've been at TI thirty two years and in my young single days i used to camp there a lot then i sort of forgot about it for twenty years and uh	I used to meet so many nice girls camping there ; those were the days !	neutral	telephone
And it 's not easy to be a First Amendment person , because then you have to allow into this marketplace that which you believe to be soiling and meretricious and tawdry and unwholesome and sometimes vile .	The first amendment is the hardest amendment to define .	neutral	slate
In any case , if I had actually been interested in buying the print , with the help of the Web , I would have been in a far better position to negotiate a favorable price .	The internet would have helped negotiate a better price for the print by the famous artist known as Ashcan .	neutral	slate
In a way , what the other had said was true .	He was definitely wrong .	contradiction	fiction
The president , still furious at the House 's indictment of him , does n't work with House Republicans .	The House of Representatives had indicted the president .	entailment	slate
I do n't know what they -- unlike , say , Martin Luther King -- stand for .	I know everything about their mission and vision .	contradiction	slate
Halston , Andy , Liza , Truman , and Bianca will be there regardless .	Five people will be there regardless .	entailment	slate
and uh they they do it on a random basis i 'm not sure how they can guarantee that everybody is going to be tested within five years if it really is random	They do it whenever it is really random .	entailment	telephone
they have a lot of good uh my son likes to watch uh the sports station you know and uh	The sports station is my son 's favorite .	entailment	telephone
The little fellow asked nothing for himself , only that Santa send his mother $ 100 .	The little fellow asked nothing for himself .	entailment	government
But here the civic sights take second place to the royal parks and palaces .	The royal palaces and parks are the best sights .	entailment	travel
We do n't know .	We ca n't be sure .	entailment	fiction
The source of balances for some revolving funds may not be predominantly exchange revenue .	Some revolving funds are sourced mainly from exchange revenue .	neutral	government
Legal Aid officials are particularly worried about impoverished areas of the state , such as eastern Kentucky , served by the Appalachian Research and Defense Fund , or APPALRED .	Legal Aid officials have successfully made all areas of the state equal in privilege .	contradiction	government
Some House Republicans , including DeLay , have fired back at Bush , accusing him of betraying them , meddling in their business , and distorting their ideas .	DeLay disagreed with Bush .	entailment	slate
That 's why I love when things ( like the nomination ) happen to people who are not clamoring for it .	It really disgusts me when people accidentally stumble into things like the nomination .	contradiction	government
Several recently refurbished rooms display over 1,700 objects found at the tomb of Tutankhamun by Howard Ceter in 1922 .	Many of the rooms have undergone recent refurbishment .	entailment	travel
Navy saved us from war , rages Buchanan in angry response to the suggestion that Kofi Annan 's diplomacy ended the Iraq crisis .	The Navy kept us from going to war which the Americans were pleased with .	neutral	slate
A smaller Church of the Burning Bush sits within the complex marking the spot where the bush stood .	The bush stood where the complex is .	entailment	travel
Remember , holiday-time is n't always all playtime .	All holidays are playtime .	contradiction	fiction
so i do n't know if he 's going to be in shape to	He has been training and preparing for this for months .	contradiction	telephone
because the kids spend more time with the parents than they spend at school and the school is just there to help the parents	It 's a good thing that children spend more time with parents .	neutral	telephone
They rode through the merchants quarter on black stallions , northern horses .	They were riding white stallions as they traveled through the merchant 's quarter .	contradiction	fiction
yeah yeah it 's scary	I find this to be rather pleasant .	contradiction	telephone
An enormous variety of makes and models are on sale .	These models are rarely on sale so this is a good opportunity .	neutral	travel
A radio was playing country-Western music .	The evening news was playing on a radio .	contradiction	slate
The AMIGA modeling system reports the costs and benefits of each scenario with several major exceptions .	The AMIGA is a mushroom .	contradiction	government
Non-COPD deaths for populations aged 64 and younger are valued at $ 0 .	For people under the age of 64 , non-COPD deaths are worth $ 0 .	entailment	government
Felipe II 's greatest lasting legacy is El Escorial , a grandiose palace and monastery in the foothills of the Sierra de Guadarrama , northwest of Madrid .	Felipe II cared little for the palace and monastery , spending most of his time in the city .	neutral	travel
Who 's Annie ? inquired Tuppence idly .	Tuppence asked about who Annie is .	entailment	fiction
Ocean Park ( see page 32 ) is popular with children of all ages .	Details on Ocean Park are on page 132 .	contradiction	travel
I have many questions , and I 'm sure he 'll be only too happy to answer them .	It was obvious he would not be dissuaded from interrogating the man .	neutral	fiction
The real outrage is that boxing is barbaric .	The outrage is that boxing is something a caveman would do .	entailment	slate
because i i descend from that and i you know i do n't ca n't i do n't understand Latin	You are not necessarily your heritage .	neutral	telephone
Buddha 's steadfast resistance to temptation gave the painters of that time a splendid pretext to show the sensual side of court life as a foil to the Master 's spirituality .	Buddha was tempted to cheat the customer 's at his fish shop .	neutral	travel
i do n't know sometimes i feel i mean i do go to church and things i do n't know how i would feel about it but like you say if it hit you personally closer at home you would feel feel differently	My feelings on the matter would n't change even if I had a bad personal experience .	contradiction	telephone
And he does n't know to this day .	He has no clue .	entailment	fiction
There is nothing wrong with the Joint Chiefs warning the administration privately that bombing was folly .	The Joint Chiefs warned the administration about potential actions .	entailment	slate
of course a quarterback can look so good if he 's got a lot if he 's got a good supporting cast you know if not he gets beat to death like poor old Troy Aikman has the last couple of years anyway you know well Dallas did better last year hopefully they 'll do better this year	Dallas performed well last year , and hopefully , they will keep that up .	entailment	telephone
In that respect , the SEC should reexamine the amount and targeting of its civil sanctions , its use of criminal statutes , and working effectively with the Department of Justice to put violators behind bars when appropriate .	The SEC does not need to change civil sanctions .	contradiction	government
It was soon flourishing ; with its natural harbor that attracted ships , Hong Kong leaped to the forefront as a base for trade .	Hong Kong 's harbor is the best in the country .	neutral	travel
Problems identified in numerous evaluations include information systems that do not meet users ' needs , exceed cost estimates , or take significantly longer than expected to complete .	It was suggested that many of the issues could be solved by better vetting among prospective employees .	neutral	government
Reed 's departure will diminish the movement 's influence .	The movement will falter with Reed leaving .	neutral	slate
warm i guess so	Warm bread , I guess	neutral	telephone
i i really do n't follow the pros that close either they they just play so many games that uh you know it 's just hard t o keep up with them but college i really enjoy college basketball	My favorite college basketball team is UConn .	neutral	telephone
Bob Dole 's from Kansas and ...	Bob Dole was born in Paris , France .	contradiction	slate
Presently the telephone at the secretary 's elbow purred , and he took up the receiver , spoke for a minute or two , then turned to his employer .	He did not speak on the telephone that day	contradiction	fiction
A House Democratic staffer close to the case said that GAO studies in the past have proved that LSC is complying fully with the congressional stipulations .	The House Democratic staffer spoke to a newspaper under the condition of anonymity .	neutral	government
There it was , in the cracked porcelain tub ; covered in tubes , being scurried over by creepy cybernetic rats .	It was covered in cybernetic rats as it laid in the tub .	entailment	fiction
It added nothing to our knowledge of the tragedy .	We now had all the facts we needed to know about the tragedy .	contradiction	fiction
These are only for decoration and not intended to ward off evil spirits volcanic or otherwise .	These decorations are vital to keeping spirits at bay .	contradiction	travel
A procedure is established for submission of applications by owners and operators and approval of applications and award of allowances by the Administrator .	Owners are responsible for the procedure and approval of applications .	contradiction	government
um-hum i have a girl and a boy and the boy 's five he 's in kindergarten and the girl is four she 'll be in kindergarten next year	I have two children aged four and five .	entailment	telephone
The large man stepped forward and picked her up in a hug .	The man was now hugging her .	entailment	fiction
The movie made me remember why I like Holly Hunter .	I like Holly Hunter .	entailment	slate
The Musee Camargais at Albaron gives a glimpse of the traditional lifestyle of the area , and sets you off on a 3.5-km ( 2-mile ) guided walk through the marshland , and the Parc Ornithologique at Pont de Gau allows you to watch a number of bird species without long hikes into the interior .	You do n't have to walk through the marshland to get to Parc Ornithologique .	contradiction	travel
The houses there had a sinister air in the midst of their dirt and decay .	The dirt and decay gave the houses a sinster air .	entailment	fiction
Busy Oriental bazaars co- ? ­exist with European shops ; kebab-shops and coffee-houses sit alongside international restaurants ; modern office buildings and hotels alternate with Ottoman min ? ­arets along the city 's skyline ; traditional music and Western pop , belly-dancing and ballet , Turkish wrestling and football all compete for the attention of the Istanbullu audience .	Istanbul features a wide range of cultural influence .	entailment	travel
They did not see the need for the separate category of RSSI .	They saw the reason to make a new category .	contradiction	government
it 's pretty interesting but it 's a real good chicken dish it 's sort of like a chicken potpie in a way you have a crust on top and all that	It 's as gross dish , I hate it .	contradiction	telephone
He saw Thorn on the end of the bridge , cleaving into the thighs and flanks of those riders who chose to cross it .	He saw Thorn slashing into those who tried to cross the bridge .	entailment	fiction
The CIO states , aIf you donat have a lot of money to spend , you have to ask yourself , what are the little things you can do to show your appreciation .	The CIO states that if you do n't have a lot to spend , then you should really ask yourself how you can demonstrate your appreciation .	entailment	government
Well , it does n't matter to me .	Well , I am very affected by it .	contradiction	fiction
In an age when even the most seemingly spontaneous public events are in fact preceded by stacks of memos and weeks of meetings , extemporaneous entertainment like this is no mean feat .	There has never once been a random event that has occurred spontaneously . Someone , made sure it happened .	contradiction	slate
The razor crossed with the fountain pen , surmounted by a box of matches , reminds those in the know that Murphy , the model for the hero of F. Scott Fitzgerald 's Tender Is the Night , gave up painting to run the family business , Mark Cross pens .	Murphy is not the model for the hero of F. Scott Fitzgerald 's Tender is The Night .	contradiction	slate
More ominous than the French were the forces of Sir Francis Drake .	Sir Francis Drake had forces more ominous than the French .	entailment	travel
Las Vegas would serve as a major stopover for crew rest and train repair .	Crew rested and repair took place in Las Vegas .	entailment	travel
Pilgrims flock from all around the island to kiss the image of the patron saint , and some ascend the final 68 steps to the church on their knees .	Pilgrims from across the world come to kiss the image of the patron saint .	entailment	travel
During summer some shops remain open for an extra half hour or more in the evening to cope with the crush .	Shops will close earlier than usual in the summer .	contradiction	travel
oh you fish upstream	You fish upstream .	entailment	telephone
There are Legal Services offices in every county except Salem and they handle roughly 50,000 cases a year .	They handle many cases per year .	neutral	government
In practice , the precision of results of repetitive chronic tests is considered acceptable if the NOECs vary by no more than one concentration interval above or below a central tendency .	Allowing for the NOEC to differ between test results by central tendency is because researchers know that not every test relies on the exact same numbers .	neutral	government
Hopefully this wo n't signal the demise of this comfortable and casual footwear .	This footwear is very painful .	contradiction	travel
Barney Frank , D-Mass. , are circulating a letter to colleagues that they will send to the president next week .	Barney FRank sent a letter to his colleagues that will be passed onto the president .	entailment	slate
Atlanta Journal-Constitution columnist Cynthia Tucker has dubbed it I Have a Dreamland .	Cynthia Tucker is a columnist for Atlanta Journal-Constitution .	entailment	slate
Legend tells of the Sun Goddess Amaterasu sending her grandson to Mt .	Sun Goddess Amaterasu is preventing her grandson from going to Mt .	contradiction	travel
Red began , `` I only -- ''	I only wanted what was -- Red said .	neutral	fiction
and i did but then you know i just gradually come back up a few pounds anyway which is no big deal i 'm not	I slowly gain .	entailment	telephone
In many ways , Japan is not yet a truly modern country .	There are ways in which you could consider Japan to not be a modern country .	entailment	travel
See also Full Cost .	Ignore the full cost	contradiction	government
The 1990s even saw a major overhaul , when Charlotte introduced magnet schools devoted to excellence in a single area , such as math , and open to students from all neighborhoods -- to give whites extra incentive to travel long distances to school .	The 1990 's saw things changing a lot .	entailment	slate
I phrased it that I wanted you well and true .	If you 're happy , then that makes me happy .	neutral	fiction
This medieval town boasts a Gothic church with a Renaissance interior ; note the carved oak choir stalls and Nottingham alabaster altarpiece .	All medieval town have many Gothic churches within them .	neutral	travel
The organizations stressed the importance of up-to-date policies that made sense to users and others who were expected to understand them .	The policies must be easy to understand by users .	neutral	government
The port cities Havana and Santiago de Cuba were heavily fortified to defend against French and English pirate raids .	Havana is not a port city .	contradiction	travel
'Aw , come on , Jasie , ' Derry grinned at me , moustache creasing upward .	Derry smiled at me .	entailment	fiction
This temple is only opened once a year , and for this reason , the entire pond is surrounded by a substantial fence .	The section of the pond covered by fencing is very minuscule .	contradiction	travel
`` Ah , the blue one you thought might be a runner to match Oro .	The blue one is a match for Oro .	neutral	fiction
oh okay so they 've got a they 've got a weak stomach then huh	They can watch anything and it does n't bother them , no matter how stomach churning .	contradiction	telephone
But in turn the pope had to kneel in allegiance , and this exchange of spiritual blessing for military protection laid the seeds of future conflict between the papacy and secular rulers , compounded in 962 when Otto I was crowned Emperor of the newly formed Holy Roman Empire .	The pope did not need to bribe any military leaders for his protection .	contradiction	travel
And what is Chineseness ?	I do not understand what you mean by Chineseness .	neutral	slate
and i know i ca n't afford a house if i 'm going to be doing that	Buying a house takes a lot of money .	neutral	telephone
um-hum yep i think that 's uh just just having a good time	I think it is all about just having a good time , that is why they do it .	neutral	telephone
This approach provides perhaps a better technique for isolating the actual costs of the emissions caps .	There is no way to estimate the actual cost of emissions caps .	contradiction	government
Celeste quieted but seethed .	Celeste was preparing to fight back .	neutral	fiction
He 's almost always portrayed as the dark , suspicious figure circa 1974 .	He is portrayed as a dark and suspicious figure .	entailment	slate
The Washington Post called him everyone 's favorite Arab moderate .	He has often been used as an authority on Arab issues .	neutral	slate
i think they will as long as they can but the problem obviously is the cost of health care as you know it 's just going completely out of sight	This trend is going to continue until the problem is tackled .	neutral	telephone
This report , the Chancellor added contains recommendations which will help ensure that our Association will continue to be a leader in the delivery of legal services provided pro bono publico ( for the good of the public ) .	The Chancellor is proud of their efforts to be a pro bono leader .	neutral	government
Who is he really ?	Who is his actual identity ?	entailment	fiction
He picked up the khaki shirt and put it on ; then , with growing curiosity , the rest of the garments , until he came to the shoes .	He put on a khaki shirt and other clothes and stopped when he got to the shoes .	entailment	fiction
Oh , sure .	Of course .	entailment	fiction
In the press release delayed by Mr. Bookstaver last September , Judge Lippman was more forceful in assessing the need for pro bono .	Mr Bookstarver expedited the press release .	contradiction	government
The period was rife with political corruption , violence , and terrorism .	There was no political corruption , violence , and terrorism during that time .	contradiction	travel
Good-looking , I suppose ? said Mr. Carter with a smile that made Tommy flush to the roots of his hair .	Tommy was unaffected by Mr. Carter 's statement .	contradiction	fiction
ISSUED BY THE FEDERAL COMMUNICATIONS COMMISSION ENTITLED AMENDMENT TO THE COMMISSION 'S RULES REGARDING A PLAN FOR SHARING THE COST OF MICROWAVE RELOCATION , FIRST REPORT AND ORDER AND FURTHER NOTICE OF PROPOSED RULE MAKING ( WT Docket No .	It was issued by the Federal Communications Commission .	entailment	government
The Family Research Council 's Bauer seems most likely to replace Reed as the religious right 's spokesperson .	It 's likely The Family Research Council 's Bauer will replace Reed as the religious right 's spokesperson .	entailment	slate
Employment vs. marriage .	Employment or marriage ?	entailment	slate
The American Bar Association and state and local bar associations have worked tirelessly to bring legal services to more and more people .	State bar associations do not encourage increased access to legal services .	contradiction	government
A little pun in his Nobel lecture appears to gloss over , and even celebrate , the privations of In the Antilles poverty is poetry with a 'v , ' une vie , a condition of life as well as of imagination .	He never gave a Nobel lecture .	contradiction	slate
oh i i loved it down there	I hate it down there .	contradiction	telephone
Mitch McConnell , R-Ky. , has tried to focus scrutiny on McCain 's tobacco and campaign-finance crusades .	Mitch was strongly anti-tobacco and focused his efforts on McCain .	neutral	slate
A little of his concern over Shadow eased .	The concern he had for Shadow lessened .	entailment	fiction
To meet the family 's extravagant debts , ground-floor rooms were turned into boutiques and cafe that attracted fashionable society , together with some shady hangers-on and intellectuals .	The family had no debts and increased profits by means of opening a Cafe .	contradiction	travel
When we discuss our common interest it turns into a fiery political debate .	We always have a calm and rational discussion about politics .	contradiction	slate
Also , a more prescriptive requirement for manufacturers to monitor the sales and distribution of retail establishments was not imposed because it would have imposed an additional cost of $ 85 million per year .	The prescriptive requirement for manufacturers was imposed .	contradiction	government
because he said it was just too dang heavy	He told me it was incredibly easy to move .	contradiction	telephone
well they have got some of the newer ones they you know with the aerodynamic features you can get pretty pretty decent gas mileage	All vans are terrible on gas .	contradiction	telephone
Lucky for me or I might have walked in and been ripped apart the moment I shadowed the door .	She stopped me from going in .	neutral	fiction
i did n't read see the the movie i read the book but i	I did not watch the movie , but I read the book .	entailment	telephone
Generally , access , authorization , and approvals are permitted through various controls and electronic symbols or programmed data elements .	Generally approvals are permitted through various controls .	entailment	government
well i guess not well maybe you 'll get to play more this year	You probably will not get to play any more this year .	contradiction	telephone
Here the main attraction is a 13-m ( 41-ft ) sitting Buddha amid the eerie darkened cavern ; altogether there are more than 40 Buddha statues .	Altogether , there 's about 55 Buddha statues that exist here .	contradiction	travel
The adventure begins inauspiciously at the visitor centre near the entrance gates ( this is the place to enquire about official guides ) .	You can not start your adventure at the visitor center .	contradiction	travel
In 1718 Bienville marked the spot for New Orleans .	At 1718 , that terrain had a penny value , it was not used for anything .	neutral	travel
It was a little after half-past five .	It was a little after half-past five in the evening .	neutral	fiction
Backed by Pakistan , Pathan tribesmen invaded Kashmir in 1947 to force the issue , but were soon repulsed by Indian troops flown in when the maharaja hastily acceded to India .	The Pathans invaded Iran..	contradiction	travel
Again and again the blade cut until the man cried out no more .	The man was cut until he died .	entailment	fiction
We also need to take this type of approach in connection with key accounting/reporting and audit issues .	We have to approach it that to ensure fair audits .	neutral	government
Although he tries to imply a romance between the two women , even the Globe does n't believe him .	He showed indisputable evidence of the two women conducting a romance and the Globe supported him .	contradiction	slate
oh that 's nice yeah and it is i think it is important to you know want to be close to your family and	I do n't think it 's important to be close to family .	contradiction	telephone
A window above me was cautiously opened , and Poirot himself looked out .	All of the windows remained firmly shut and the house was quiet .	contradiction	fiction
It had occurred to me as probable that , after Miss Cowley flung it on the floor , certain words might have been erased and altered with the express intention of setting searchers on a false trail . '' Carter nodded .	It had occurred to me as probable that , after miss Cowley flung it on the floor , a number of words had been erased .	entailment	fiction
right right yeah it it would almost be like a a uh	Yes , it 's close	entailment	telephone
In the south the Kek Lok Tong and Sam Poh Tong temples are nestled within high limestone caves and cavities near Gunung Rapat .	The temples are not in caves .	contradiction	travel
Besides , he would n't mind if he did .	He might meet up with an old friend while he is there .	neutral	fiction
I am in the lab , and I have to get back to Derry .	I 'm in the theater now but want to get back to Jerry as soon as possible .	contradiction	fiction
you know and that just drives me crazy because they 're and then they want then you know to get it removed they say well you know you have to write this write this long detailed letter and everything like that to them you know and then it takes three weeks and all and i 'm like baloney	I have tried writing to them before , but I gave up after five tries .	neutral	telephone
Or two known defectors .	Or both admitted traitors .	entailment	slate
The most hilarious bits , critics say , are his riffs on masturbation and on growing up as a working-class Latino .	His masturbation jokes focus around getting caught in awkward situations .	neutral	slate
In a competitive environment , the Postal Service could easily retain universal service , but perhaps not a universal service standard .	Universal service standards include consistent delivery times across all offices .	neutral	government
I started as a fan of great popularizers like Richard Dawkins and Steven Pinker , and I have since graduated not only to hero worship of the leading evolutionary theorists but also to reading textbooks and even journal articles .	I disliked Dawkins a lot in the beginning .	contradiction	slate
I am much worried . ''	I 'm not worried at all .	contradiction	fiction
oh we are too our community is uh just starting to get organized about it they just opened up a recycling center where we go and donate our our things and dump them off ourselves	Oh no , my community has n't done anything about recycling .	contradiction	telephone
right yeah and the two eighty six too so yeah	The two eighty six is also a part of it .	neutral	telephone
SOUTHEAST	The path that is downward and to the right , relative to the North Star .	entailment	travel
The jury viewed the body , and John Cavendish gave evidence of identification .	John Cavendish was not present at the trial , so it was thrown out .	contradiction	fiction
The Logic of Comparative Social Inquiry .	There is logic in comparing social inquiries .	entailment	government
It 's plagued by bland dialogue and dull sitcom acting , writes the New York Times ' Stephen Holden .	This is because he 's watching the Big Bang Theory .	neutral	slate
Here , you are what you drive , which explains the number of expensive cars beside you on the road .	You will rarely see expensive or fancy vehicles on the road around here .	contradiction	travel
